site_name,url,bias_rating,factual_reporting_rating
(The) Interpreter Magazine,interpretermag.com,-8,HIGH
1600 Daily,whitehouse.gov/1600daily,26,MIXED
2ndVote,2ndvote.com,29,MIXED
680 News,680news.com,-3,HIGH
71 Republic,71republic.com,15,HIGH
9 News (Australia),9news.com.au,6,HIGH
ABC News Australia,abc.net.au/news,-4,HIGH
ABC News,abcnews.go.com,-13,HIGH
ABC11 Eyewitness News,abc11.com,-11,HIGH
Above the Law,abovethelaw.com,-9,HIGH
ABS-CBN News,news.abs-cbn.com,-5,HIGH
Acculturated,acculturated.com,24,HIGH
Accuracy in Academia (AIA),academia.org,28,MIXED
Accuracy in Media (AIM),aim.org,30,MIXED
Act.TV,act.tv,-26,HIGH
Acting Man,acting-man.com,24,MIXED
Addicting Info,addictinginfo.com,-25,MIXED
Advocate,advocate.com,-22,HIGH
Aeon,aeon.co,-10,HIGH
Affinity Magazine,affinitymagazine.us,-15,MIXED
AFP (Agence France Presse),afp.com/en/home,-5,HIGH
Africa News,africanews.com,-2,HIGH
African Arguments,africanarguments.org,-12,HIGH
Against Crony Capitialism,ac2news.com,24,MIXED
Agerpres,agerpres.ro/english,-1,HIGH
Ahram Online,english.ahram.org.eg,-2,HIGH
Airwars,airwars.org,-1,HIGH
Akkadian Times,akkadiantimes.com,-22,HIGH
Akron Beacon Journal,ohio.com,-9,HIGH
Al Arabiya,english.alarabiya.net,-3,HIGH
Al Bawaba,albawaba.com,-3,HIGH
Al Jazeera,aljazeera.com,-8,HIGH
Al Majalla,eng.majalla.com,-4,HIGH
Al Monitor,al-monitor.com/pulse/home.html,-13,HIGH
Al-Hayat,alhayat.com,-13,HIGH
Al-Masdar News (AMN),almasdarnews.com,-13,MIXED
Al-Sura,al-sura.com,-11,MIXED
AL.com (Alabama News),al.com,13,HIGH
Alabama Political Reporter,alreporter.com,1,HIGH
Alabama Today,altoday.com,-2,HIGH
Alan Guttmacher Institute,guttmacher.org,-12,HIGH
Alaska Dispatch News,adn.com,-10,HIGH
Albany Democrat Herald,democratherald.com,-2,HIGH
Albany Times-Union,timesunion.com,-8,HIGH
Albuquerque Journal,abqjournal.com,-5,HIGH
All That’s Fab,allthatsfab.com,-28,MIXED
Allen B. West,allenbwest.com,29,MIXED
AllGov,allgov.com,-1,VERY HIGH
Alliance for Justice (AFJ),afj.org,-22,HIGH
Alliance for Securing Democracy,securingdemocracy.gmfus.org,2,HIGH
Allied Progress,alliedprogress.org,-16,HIGH
Alpha News,alphanewsmn.com,24,MIXED
AlterNet,alternet.org,-28,MIXED
AltNewsMedia.net,altnewsmedia.net,24,HIGH
AM New York,amny.com,-13,HIGH
Amandla,aidc.org.za/amandla-media,-23,HIGH
America Magazine,americamagazine.org,-8,HIGH
AmericaBlog,americablog.com,-23,HIGH
American Action Forum,americanactionforum.org,14,HIGH
American Bridge 21st Century,americanbridgepac.org,-25,MIXED
American Center for Law and Justice (ACLJ),aclj.org,30,MIXED
American Civil Liberties Union (ACLU),aclu.org,-10,HIGH
American Consequences,americanconsequences.com,24,MIXED
American Council on Science and Health,acsh.org,9,HIGH
American Enterprise Institute,aei.org,21,MIXED
American Firearms Institute,americanfirearms.org,13,HIGH
American Foreign Policy Council (AFPC),afpc.org,10,HIGH
American Greatness,amgreatness.com,22,MIXED
American Herald Tribune,ahtribune.com,-12,MIXED
American Heritage,americanheritage.com,1,HIGH
American Legislative Exchange Council (ALEC),alec.org,24,MIXED
American Liberty Report,americanlibertyreport.com,26,MIXED
American Military News,americanmilitarynews.com,27,HIGH
American News 24/7,americandailynews.org,30,MIXED
American News Hub,americanewshub.com,28,MIXED
American News X,americannewsx.com,-26,MIXED
American Public Media,americanpublicmedia.org,-8,HIGH
American Spectator,spectator.org,26,HIGH
American Thinker,americanthinker.com,27,MIXED
American United for Separation of Church and State,au.org,-18,HIGH
American Web Media (AWM),awm.com,19,MIXED
Americans for Prosperity,americansforprosperity.org,29,MIXED
Americas Quarterly,americasquarterly.org,10,HIGH
Ammoland,ammoland.com,24,HIGH
Amnesty International,amnesty.org/en,-5,HIGH
Anadolu Agency,aa.com.tr/en,24,MIXED
Angry White Men,angrywhitemen.org,-21,HIGH
Anniston Star,annistonstar.com,-16,HIGH
Anthropocene Magazine,anthropocenemagazine.org,-4,VERY HIGH
Anthropocene Magazine,anthropocenemagazine.org,-4,VERY HIGH
Anti-Defamation League,adl.org,-11,HIGH
Anti-Fascist News,antifascistnews.net,-18,MIXED
Anti-War,antiwar.com,16,MIXED
AOL,aol.com,-14,HIGH
APM Reports,apmreports.org,-10,HIGH
APTN News,aptnnews.ca/aptn-national-news,-4,HIGH
Ara News,aranews.net,-12,HIGH
Arab News,arabnews.com,10,HIGH
Arizona Capitol Times,azcapitoltimes.com,-1,HIGH
Arizona Daily Independent,arizonadailyindependent.com,24,MIXED
Arizona Daily Star,tucson.com,-13,HIGH
Arizona Daily Sun,azdailysun.com,-7,HIGH
Arizona Republic,azcentral.com,12,HIGH
Arkansas Democrat-Gazette,arkansasonline.com,11,HIGH
Armstrong Economics,armstrongeconomics.com,11,HIGH
Arutz Sheva (Israel National News),israelnationalnews.com,15,HIGH
Asharq Al-Awsat,english.aawsat.com,1,HIGH
Asheville Citizen-Times,citizen-times.com,-7,HIGH
Asia Times,atimes.com,-4,HIGH
Asian News International (ANI),aninews.in,1,HIGH
Associated Press,apnews.com,-5,VERY HIGH
Assyrian International News Agency,aina.org/aboutaina.html,22,MIXED
Atavist Magazine,magazine.atavist.com,-8,VERY HIGH
Atlanta Black Star,atlantablackstar.com,-15,HIGH
Atlanta Journal-Constitution,ajc.com,-13,HIGH
Atlantic Council,atlanticcouncil.org,3,HIGH
Atlantic Media,atlanticmedia.com,-7,HIGH
ATTN:,attn.com,-11,HIGH
Austin American-Statesman,statesman.com,-8,HIGH
AutoStraddle,autostraddle.com,-23,HIGH
Axios,axios.com,-9,HIGH
BackChannel,backchannel.com,-8,VERY HIGH
Backed by Fact,backedbyfact.com,-18,HIGH
Ballotpedia,ballotpedia.org/Main_Page,-1,VERY HIGH
Baltimore City Paper,citypaper.com,-21,MIXED
Baltimore Sun,baltimoresun.com,-13,HIGH
Bangor Daily News,bangordailynews.com,-9,HIGH
