weights,context,context_len,preprocess,norm,n_neighbors,n_components,umap_metric,cluster_metric,algorithm,cluster_selection_method,value
0.18219409934701802,False,2,True,l1,12,9,chebyshev,cosine,generic,eom,0.0
0.12124561325750538,True,5,False,max,25,3,chebyshev,euclidean,boruvka_kdtree,eom,0.501762534186472
0.16053750449821988,True,3,False,l2,46,8,euclidean,euclidean,best,eom,0.5058122331813677
0.18229926262180113,True,3,False,l2,39,9,euclidean,euclidean,best,eom,0.5197031283255176
0.06713966142887068,True,6,False,max,5,3,cosine,manhattan,best,leaf,0.542601626761417
0.07430487827276028,True,9,False,max,8,4,cosine,manhattan,best,leaf,0.5629155045923704
0.22234610332916527,True,10,True,l1,26,2,manhattan,cosine,best,eom,0.0
0.7169440479756047,True,10,True,none,23,4,euclidean,manhattan,generic,leaf,0.4240695141122935
0.261412187445874,True,11,False,none,17,6,correlation,manhattan,prims_kdtree,leaf,0.5078551531808082
0.2087846753186992,True,1,False,none,18,4,correlation,euclidean,prims_kdtree,leaf,0.516057629279905
0.1445441902656044,True,4,False,none,11,3,correlation,manhattan,prims_kdtree,leaf,0.5632844067388504
0.1116575392056741,True,4,False,l1,5,2,cosine,euclidean,best,leaf,0.5668146933747532
0.10601001111804598,True,5,False,l1,5,4,cosine,euclidean,best,leaf,0.5726501777872791
0.10320279024796587,True,2,True,none,8,2,cosine,euclidean,best,leaf,0.5795942849969886
0.04476778640046409,True,4,False,l1,9,2,cosine,euclidean,best,leaf,0.5855014131070069
0.11024674461204748,True,2,False,none,8,2,cosine,euclidean,best,leaf,0.5860889494082272
0.07940402335872375,True,2,True,none,8,2,cosine,euclidean,best,leaf,0.5866104684973811
4.33453067052586e-05,True,2,True,max,8,2,cosine,euclidean,best,leaf,0.5920203514733916
0.041011284706173996,True,2,False,l2,7,2,correlation,euclidean,best,leaf,0.5957194473931883
0.15115288061454837,True,2,True,l1,5,3,cosine,euclidean,best,leaf,0.5959727946520709
0.38379642792745117,True,2,False,max,6,2,manhattan,euclidean,prims_kdtree,leaf,0.6015818421778653
0.40932763416467255,True,2,False,l1,5,2,euclidean,euclidean,prims_kdtree,leaf,0.6052158840939194
0.39157895477150506,True,2,False,l1,6,2,euclidean,euclidean,prims_kdtree,leaf,0.6072692537926379
0.33273065097201415,True,2,False,none,6,2,euclidean,manhattan,generic,leaf,0.6111831426773106

0.03165728501578491,True,12,False,max,7,3,correlation,manhattan,prims_kdtree,eom,0.46735016189027356
0.016943708287595564,True,14,False,max,48,4,manhattan,euclidean,prims_kdtree,eom,0.490279745372695
0.10519153989509317,True,5,False,l1,20,6,manhattan,euclidean,boruvka_kdtree,eom,0.509619680957141
0.5171016080381057,True,5,False,l1,19,7,manhattan,euclidean,boruvka_kdtree,eom,0.5164971476439156
0.5050573012733199,True,5,False,l1,17,7,manhattan,euclidean,boruvka_kdtree,eom,0.5208900777526397
0.546266425469576,True,2,True,l1,5,7,correlation,manhattan,boruvka_kdtree,eom,0.5271039018705915
0.4081345270658326,True,5,True,l1,37,7,manhattan,euclidean,boruvka_kdtree,eom,0.5382294205814314
0.3999303843156199,True,2,False,l1,41,5,manhattan,euclidean,boruvka_kdtree,eom,0.559826407976926
0.001846774526827244,True,2,False,l1,26,9,manhattan,manhattan,generic,leaf,0.5631685035382281
0.12953850223546473,True,1,False,l2,49,9,euclidean,manhattan,generic,leaf,0.5643265210086437
0.03304754084944847,True,2,False,none,50,10,euclidean,manhattan,best,leaf,0.5703362519995535
0.4273148623631487,True,2,True,none,34,8,cosine,manhattan,best,leaf,0.5888028888382665
0.09274271689038525,True,3,False,none,14,10,cosine,euclidean,best,leaf,0.5893765944516673
0.2759168696123488,True,4,True,l1,7,9,correlation,euclidean,boruvka_kdtree,leaf,0.5901056549762647
0.2578922050449067,True,2,True,l1,5,9,correlation,euclidean,boruvka_kdtree,leaf,0.590925356349302
